tagid,wave,session_date
TAG060,wave_1_scheduling_arm_1,3/12/16
TAG060,wave_2_scheduling_arm_1,10/7/17
TAG060,sos_arm_1,1/3/19
TAG060,wave_3_scheduling_arm_1,4/11/19
TAG060,wave_4_scheduling_arm_1,6/9/21
TAG062,wave_1_scheduling_arm_1,7/18/16
TAG062,wave_2_scheduling_arm_1,2/19/18
TAG062,sos_arm_1,1/4/19
TAG062,wave_3_scheduling_arm_1,8/26/19
TAG062,wave_4_scheduling_arm_1,6/15/21
TAG063,wave_1_scheduling_arm_1,7/2/16
TAG064,wave_1_scheduling_arm_1,4/5/16
TAG064,wave_2_scheduling_arm_1,11/8/17
TAG064,wave_3_scheduling_arm_1,5/22/19
TAG065,wave_1_scheduling_arm_1,4/5/16
TAG065,wave_2_scheduling_arm_1,11/13/17
TAG065,wave_3_scheduling_arm_1,6/4/19
TAG065,wave_4_scheduling_arm_1,8/18/21
TAG066,wave_1_scheduling_arm_1,4/23/16
TAG066,wave_2_scheduling_arm_1,11/19/17
TAG066,wave_3_scheduling_arm_1,6/22/19
TAG067,wave_1_scheduling_arm_1,4/23/16
TAG067,wave_2_scheduling_arm_1,8/23/17
TAG067,wave_3_scheduling_arm_1,3/26/19
TAG068,wave_1_scheduling_arm_1,11/23/16
TAG068,wave_2_scheduling_arm_1,7/9/18
TAG068,sos_arm_1,3/3/19
TAG068,wave_3_scheduling_arm_1,12/2/19
TAG069,wave_1_scheduling_arm_1,4/30/16
TAG069,wave_2_scheduling_arm_1,10/21/17
TAG069,sos_arm_1,2/29/20
TAG069,wave_3_scheduling_arm_1,4/13/19
TAG069,wave_4_scheduling_arm_1,2/23/21
TAG070,wave_1_scheduling_arm_1,5/6/16
TAG070,wave_2_scheduling_arm_1,2/2/18
TAG070,wave_3_scheduling_arm_1,10/28/19
TAG071,wave_1_scheduling_arm_1,8/15/16
TAG071,wave_2_scheduling_arm_1,2/26/18
TAG071,wave_3_scheduling_arm_1,8/23/19
TAG071,wave_4_scheduling_arm_1,8/4/21
TAG072,wave_1_scheduling_arm_1,5/12/17
TAG072,wave_2_scheduling_arm_1,11/9/18
TAG072,wave_3_scheduling_arm_1,3/13/21
TAG073,wave_1_scheduling_arm_1,6/21/16
TAG073,wave_2_scheduling_arm_1,11/27/17
TAG073,wave_3_scheduling_arm_1,12/30/19
TAG074,wave_1_scheduling_arm_1,9/15/17
TAG074,wave_2_scheduling_arm_1,3/18/19
TAG074,sos_arm_1,10/19/19
TAG074,wave_3_scheduling_arm_1,6/21/21
TAG075,wave_1_scheduling_arm_1,8/8/16
TAG075,wave_2_scheduling_arm_1,4/21/18
TAG075,wave_3_scheduling_arm_1,10/17/19
TAG076,wave_1_scheduling_arm_1,8/10/16
TAG076,wave_2_scheduling_arm_1,3/7/18
TAG076,sos_arm_1,1/13/19
TAG076,wave_3_scheduling_arm_1,9/5/19
TAG077,wave_1_scheduling_arm_1,7/26/17
TAG077,wave_2_scheduling_arm_1,1/24/19
TAG077,sos_arm_1,8/23/19
TAG077,wave_3_scheduling_arm_1,4/21/21
TAG078,wave_1_scheduling_arm_1,10/8/16
TAG078,wave_2_scheduling_arm_1,4/26/18
TAG078,wave_3_scheduling_arm_1,10/29/19
TAG079,wave_1_scheduling_arm_1,7/16/16
TAG079,wave_2_scheduling_arm_1,5/15/18
TAG080,wave_1_scheduling_arm_1,1/13/17
TAG080,wave_2_scheduling_arm_1,6/23/18
TAG080,sos_arm_1,3/29/19
TAG080,wave_3_scheduling_arm_1,12/30/19
TAG081,wave_1_scheduling_arm_1,7/3/17
TAG081,wave_2_scheduling_arm_1,2/9/19
TAG081,sos_arm_1,8/9/19
TAG083,wave_1_scheduling_arm_1,11/2/17
TAG084,wave_1_scheduling_arm_1,5/21/16
TAG084,wave_2_scheduling_arm_1,11/22/17
TAG084,sos_arm_1,11/4/18
TAG084,wave_3_scheduling_arm_1,6/26/19
TAG084,wave_4_scheduling_arm_1,8/25/21
TAG085,wave_1_scheduling_arm_1,6/27/16
TAG085,wave_2_scheduling_arm_1,1/12/18
TAG085,sos_arm_1,1/6/19
TAG085,wave_3_scheduling_arm_1,7/18/19
