TAGID,wave,session_date
TAG_075,wave_2_scheduling_arm_1,2018-04-21
TAG_075,wave_3_scheduling_arm_1,2019-10-17
TAG_076,wave_1_scheduling_arm_1,2016-08-10
TAG_076,wave_2_scheduling_arm_1,2018-03-07
TAG_076,sos_arm_1,2019-01-13
TAG_076,wave_3_scheduling_arm_1,2019-09-05
TAG_077,wave_1_scheduling_arm_1,2017-07-26
TAG_077,wave_2_scheduling_arm_1,2019-01-24
TAG_077,sos_arm_1,2019-08-23
TAG_078,wave_1_scheduling_arm_1,2016-10-08
TAG_078,wave_2_scheduling_arm_1,2018-04-26
TAG_078,wave_3_scheduling_arm_1,2019-10-29
TAG_079,wave_1_scheduling_arm_1,2016-07-16
TAG_079,wave_2_scheduling_arm_1,2018-05-15
TAG_080,wave_1_scheduling_arm_1,2017-01-13
TAG_080,wave_2_scheduling_arm_1,2018-06-23
TAG_080,sos_arm_1,2019-03-29
TAG_080,wave_3_scheduling_arm_1,2019-12-30
TAG_081,wave_1_scheduling_arm_1,2017-07-03
TAG_081,wave_2_scheduling_arm_1,2019-02-09
TAG_081,sos_arm_1,2019-08-09
TAG_083,wave_1_scheduling_arm_1,2017-11-02
TAG_084,wave_1_scheduling_arm_1,2016-05-21
TAG_084,wave_2_scheduling_arm_1,2017-11-22
TAG_084,sos_arm_1,2018-11-04
TAG_084,wave_3_scheduling_arm_1,2019-06-26
TAG_085,wave_1_scheduling_arm_1,2016-06-27
TAG_085,wave_2_scheduling_arm_1,2018-01-12
TAG_085,sos_arm_1,2019-01-06
TAG_085,wave_3_scheduling_arm_1,2019-07-18
TAG_086,wave_1_scheduling_arm_1,2016-05-25
TAG_086,wave_2_scheduling_arm_1,2017-11-19
TAG_086,sos_arm_1,2018-12-09
TAG_086,wave_3_scheduling_arm_1,2019-07-01
TAG_087,wave_1_scheduling_arm_1,2017-10-26
TAG_087,wave_2_scheduling_arm_1,2019-05-03
TAG_087,sos_arm_1,2019-08-22
TAG_088,wave_1_scheduling_arm_1,2016-07-05
TAG_088,wave_2_scheduling_arm_1,2018-03-19
TAG_088,wave_3_scheduling_arm_1,2019-10-12
TAG_089,wave_1_scheduling_arm_1,2016-05-27
TAG_089,wave_2_scheduling_arm_1,2017-11-17
TAG_089,sos_arm_1,2018-12-08
TAG_089,wave_3_scheduling_arm_1,2019-05-28
TAG_090,wave_1_scheduling_arm_1,2016-06-22
TAG_090,wave_2_scheduling_arm_1,2017-12-04
TAG_090,wave_3_scheduling_arm_1,2019-07-09
TAG_091,wave_1_scheduling_arm_1,2017-01-11
TAG_091,wave_2_scheduling_arm_1,2018-08-18
TAG_093,wave_1_scheduling_arm_1,2016-05-28
TAG_093,wave_2_scheduling_arm_1,2018-02-13
TAG_093,wave_3_scheduling_arm_1,2019-08-22
TAG_095,wave_1_scheduling_arm_1,2017-06-16
TAG_095,wave_2_scheduling_arm_1,2018-11-08
TAG_095,wave_3_scheduling_arm_1,2020-11-15
TAG_098,wave_1_scheduling_arm_1,2016-09-27
TAG_098,wave_2_scheduling_arm_1,2018-03-30
TAG_098,wave_3_scheduling_arm_1,2019-12-23
TAG_099,wave_1_scheduling_arm_1,2016-12-01
TAG_099,wave_2_scheduling_arm_1,2018-07-19
TAG_099,wave_3_scheduling_arm_1,2020-01-30
TAG_100,wave_1_scheduling_arm_1,2016-06-06
TAG_100,wave_2_scheduling_arm_1,2018-03-13
TAG_100,wave_3_scheduling_arm_1,2019-11-20
